dataset,llm,n_train_shot,n_demo_shot,method,seed,acc,running_time
wiki-zh,/data/llmweights/gpt2-xl,4,0,Nearest Neighbors,1,0.5344129554655871,0.5353093147277832
wiki-zh,/data/llmweights/gpt2-xl,4,0,MLP,1,0.47657605552342397,0.6145033836364746
wiki-zh,/data/llmweights/gpt2-xl,4,0,Logistic Regression,1,0.5037593984962406,0.2651071548461914
wiki-zh,/data/llmweights/gpt2-xl,4,0,Nearest Neighbors,2,0.6940427993059572,0.5006897449493408
wiki-zh,/data/llmweights/gpt2-xl,4,0,MLP,2,0.6477732793522267,0.508171796798706
wiki-zh,/data/llmweights/gpt2-xl,4,0,Logistic Regression,2,0.6281087333718912,0.25957512855529785
wiki-zh,/data/llmweights/gpt2-xl,4,0,Nearest Neighbors,3,0.6807403123192597,0.547304630279541
wiki-zh,/data/llmweights/gpt2-xl,4,0,MLP,3,0.7108155002891845,0.610262393951416
wiki-zh,/data/llmweights/gpt2-xl,4,0,Logistic Regression,3,0.7061885482938115,0.24654793739318848
wiki-zh,/data/llmweights/gpt2-xl,4,0,Nearest Neighbors,4,0.6703296703296703,0.5156822204589844
wiki-zh,/data/llmweights/gpt2-xl,4,0,MLP,4,0.6859456333140543,0.4391300678253174
wiki-zh,/data/llmweights/gpt2-xl,4,0,Logistic Regression,4,0.6685945633314054,0.24421286582946777
wiki-zh,/data/llmweights/gpt2-xl,4,0,Nearest Neighbors,5,0.7004048582995951,0.552457332611084
wiki-zh,/data/llmweights/gpt2-xl,4,0,MLP,5,0.6980913823019086,0.5306148529052734
wiki-zh,/data/llmweights/gpt2-xl,4,0,Logistic Regression,5,0.6998264893001735,0.2575857639312744
wiki-zh,/data/llmweights/gpt2-xl,8,0,Nearest Neighbors,1,0.5777906304222094,0.5539758205413818
wiki-zh,/data/llmweights/gpt2-xl,8,0,MLP,1,0.5957200694042799,0.511988639831543
wiki-zh,/data/llmweights/gpt2-xl,8,0,Logistic Regression,1,0.5806824754193175,0.30584239959716797
wiki-zh,/data/llmweights/gpt2-xl,8,0,Nearest Neighbors,2,0.6026604973973395,0.5214309692382812
wiki-zh,/data/llmweights/gpt2-xl,8,0,MLP,2,0.5240023134759977,0.4922769069671631
wiki-zh,/data/llmweights/gpt2-xl,8,0,Logistic Regression,2,0.5320994794679005,0.2671506404876709
wiki-zh,/data/llmweights/gpt2-xl,8,0,Nearest Neighbors,3,0.6454598033545402,0.6351597309112549
wiki-zh,/data/llmweights/gpt2-xl,8,0,MLP,3,0.6136495083863505,0.48581719398498535
wiki-zh,/data/llmweights/gpt2-xl,8,0,Logistic Regression,3,0.5916714864083286,0.29906415939331055
wiki-zh,/data/llmweights/gpt2-xl,8,0,Nearest Neighbors,4,0.6778484673221515,0.6222164630889893
wiki-zh,/data/llmweights/gpt2-xl,8,0,MLP,4,0.5245806824754193,0.4160730838775635
wiki-zh,/data/llmweights/gpt2-xl,8,0,Logistic Regression,4,0.5292076344707923,0.25947999954223633
wiki-zh,/data/llmweights/gpt2-xl,8,0,Nearest Neighbors,5,0.4574898785425101,0.5495162010192871
wiki-zh,/data/llmweights/gpt2-xl,8,0,MLP,5,0.47657605552342397,0.523134708404541
wiki-zh,/data/llmweights/gpt2-xl,8,0,Logistic Regression,5,0.4950838635049161,0.25339794158935547
wiki-zh,/data/llmweights/gpt2-xl,16,0,Nearest Neighbors,1,0.6633892423366108,0.5389699935913086
wiki-zh,/data/llmweights/gpt2-xl,16,0,MLP,1,0.6668594563331406,1.001314401626587
wiki-zh,/data/llmweights/gpt2-xl,16,0,Logistic Regression,1,0.6529786003470214,0.28360843658447266
wiki-zh,/data/llmweights/gpt2-xl,16,0,Nearest Neighbors,2,0.5824175824175825,0.5660102367401123
wiki-zh,/data/llmweights/gpt2-xl,16,0,MLP,2,0.5824175824175825,0.5527234077453613
wiki-zh,/data/llmweights/gpt2-xl,16,0,Logistic Regression,2,0.5691150954308849,0.2749965190887451
wiki-zh,/data/llmweights/gpt2-xl,16,0,Nearest Neighbors,3,0.7009832272990167,0.60978102684021
wiki-zh,/data/llmweights/gpt2-xl,16,0,MLP,3,0.6720647773279352,0.6167306900024414
wiki-zh,/data/llmweights/gpt2-xl,16,0,Logistic Regression,3,0.6633892423366108,0.2709486484527588
wiki-zh,/data/llmweights/gpt2-xl,16,0,Nearest Neighbors,4,0.43551185656448815,0.5192282199859619
wiki-zh,/data/llmweights/gpt2-xl,16,0,MLP,4,0.44129554655870445,0.5520615577697754
wiki-zh,/data/llmweights/gpt2-xl,16,0,Logistic Regression,4,0.46790052053209946,0.2759268283843994
wiki-zh,/data/llmweights/gpt2-xl,16,0,Nearest Neighbors,5,0.48872180451127817,0.5330572128295898
wiki-zh,/data/llmweights/gpt2-xl,16,0,MLP,5,0.626951995373048,0.5798749923706055
wiki-zh,/data/llmweights/gpt2-xl,16,0,Logistic Regression,5,0.6234817813765182,0.27269649505615234
wiki-zh,/data/llmweights/gpt2-xl,32,0,Nearest Neighbors,1,0.5072296124927704,0.5546674728393555
wiki-zh,/data/llmweights/gpt2-xl,32,0,MLP,1,0.5795257374204743,0.681164026260376
wiki-zh,/data/llmweights/gpt2-xl,32,0,Logistic Regression,1,0.5754771544245229,0.2857694625854492
wiki-zh,/data/llmweights/gpt2-xl,32,0,Nearest Neighbors,2,0.5587044534412956,0.5588884353637695
wiki-zh,/data/llmweights/gpt2-xl,32,0,MLP,2,0.5639097744360902,0.7688536643981934
wiki-zh,/data/llmweights/gpt2-xl,32,0,Logistic Regression,2,0.5546558704453441,0.29326748847961426
wiki-zh,/data/llmweights/gpt2-xl,32,0,Nearest Neighbors,3,0.6211683053788317,0.5667276382446289
wiki-zh,/data/llmweights/gpt2-xl,32,0,MLP,3,0.6257952573742047,0.7802419662475586
wiki-zh,/data/llmweights/gpt2-xl,32,0,Logistic Regression,3,0.6211683053788317,0.3400421142578125
wiki-zh,/data/llmweights/gpt2-xl,32,0,Nearest Neighbors,4,0.6032388663967612,0.545161247253418
wiki-zh,/data/llmweights/gpt2-xl,32,0,MLP,4,0.578368999421631,0.786515474319458
wiki-zh,/data/llmweights/gpt2-xl,32,0,Logistic Regression,4,0.5824175824175825,0.3091928958892822
wiki-zh,/data/llmweights/gpt2-xl,32,0,Nearest Neighbors,5,0.6252168883747831,0.49251389503479004
wiki-zh,/data/llmweights/gpt2-xl,32,0,MLP,5,0.6292654713707345,0.7224571704864502
wiki-zh,/data/llmweights/gpt2-xl,32,0,Logistic Regression,5,0.6026604973973395,0.29571104049682617
wiki-zh,/data/llmweights/gpt2-xl,64,0,Nearest Neighbors,1,0.6072874493927125,0.5823638439178467
wiki-zh,/data/llmweights/gpt2-xl,64,0,MLP,1,0.6009253903990746,1.1583664417266846
wiki-zh,/data/llmweights/gpt2-xl,64,0,Logistic Regression,1,0.5760555234239445,0.32929348945617676
wiki-zh,/data/llmweights/gpt2-xl,64,0,Nearest Neighbors,2,0.5882012724117988,0.5662624835968018
wiki-zh,/data/llmweights/gpt2-xl,64,0,MLP,2,0.5997686524002314,1.4656474590301514
wiki-zh,/data/llmweights/gpt2-xl,64,0,Logistic Regression,2,0.5899363794100636,0.4033207893371582
wiki-zh,/data/llmweights/gpt2-xl,64,0,Nearest Neighbors,3,0.6292654713707345,0.591651439666748
wiki-zh,/data/llmweights/gpt2-xl,64,0,MLP,3,0.6281087333718912,1.7898845672607422
wiki-zh,/data/llmweights/gpt2-xl,64,0,Logistic Regression,3,0.6090225563909775,0.3756449222564697
wiki-zh,/data/llmweights/gpt2-xl,64,0,Nearest Neighbors,4,0.5962984384037016,0.5554599761962891
wiki-zh,/data/llmweights/gpt2-xl,64,0,MLP,4,0.5899363794100636,1.2013745307922363
wiki-zh,/data/llmweights/gpt2-xl,64,0,Logistic Regression,4,0.5899363794100636,0.33699560165405273
wiki-zh,/data/llmweights/gpt2-xl,64,0,Nearest Neighbors,5,0.572006940427993,0.5224881172180176
wiki-zh,/data/llmweights/gpt2-xl,64,0,MLP,5,0.589358010410642,1.2070698738098145
wiki-zh,/data/llmweights/gpt2-xl,64,0,Logistic Regression,5,0.5864661654135338,0.33087706565856934
wiki-zh,/data/llmweights/gpt2-xl,128,0,Nearest Neighbors,1,0.6009253903990746,0.6472787857055664
wiki-zh,/data/llmweights/gpt2-xl,128,0,MLP,1,0.6194331983805668,4.251039028167725
wiki-zh,/data/llmweights/gpt2-xl,128,0,Logistic Regression,1,0.600347021399653,0.42641401290893555
wiki-zh,/data/llmweights/gpt2-xl,128,0,Nearest Neighbors,2,0.6252168883747831,0.5826621055603027
wiki-zh,/data/llmweights/gpt2-xl,128,0,MLP,2,0.6662810873337189,3.776738166809082
wiki-zh,/data/llmweights/gpt2-xl,128,0,Logistic Regression,2,0.6495083863504916,0.39667224884033203
wiki-zh,/data/llmweights/gpt2-xl,128,0,Nearest Neighbors,3,0.6385193753614806,0.65313720703125
wiki-zh,/data/llmweights/gpt2-xl,128,0,MLP,3,0.637941006362059,3.397535562515259
wiki-zh,/data/llmweights/gpt2-xl,128,0,Logistic Regression,3,0.6350491613649508,0.39148712158203125
wiki-zh,/data/llmweights/gpt2-xl,128,0,Nearest Neighbors,4,0.5789473684210527,0.535742998123169
wiki-zh,/data/llmweights/gpt2-xl,128,0,MLP,4,0.6275303643724697,3.811579942703247
wiki-zh,/data/llmweights/gpt2-xl,128,0,Logistic Regression,4,0.6136495083863505,0.3758883476257324
wiki-zh,/data/llmweights/gpt2-xl,128,0,Nearest Neighbors,5,0.6020821283979179,0.6061182022094727
wiki-zh,/data/llmweights/gpt2-xl,128,0,MLP,5,0.631578947368421,3.1382925510406494
wiki-zh,/data/llmweights/gpt2-xl,128,0,Logistic Regression,5,0.633314054366686,0.3812131881713867
wiki-zh,/data/llmweights/gpt2-xl,4,1,Nearest Neighbors,1,0.7200694042799306,0.8658418655395508
wiki-zh,/data/llmweights/gpt2-xl,4,1,MLP,1,0.5228455754771544,0.5005795955657959
wiki-zh,/data/llmweights/gpt2-xl,4,1,Logistic Regression,1,0.5482938114517062,0.2532162666320801
wiki-zh,/data/llmweights/gpt2-xl,4,1,Nearest Neighbors,2,0.39271255060728744,0.6693341732025146
wiki-zh,/data/llmweights/gpt2-xl,4,1,MLP,2,0.43898207056101796,0.39605140686035156
wiki-zh,/data/llmweights/gpt2-xl,4,1,Logistic Regression,2,0.43377674956622325,0.2505614757537842
wiki-zh,/data/llmweights/gpt2-xl,4,1,Nearest Neighbors,3,0.7004048582995951,0.8512094020843506
wiki-zh,/data/llmweights/gpt2-xl,4,1,MLP,3,0.6344707923655292,0.5044844150543213
wiki-zh,/data/llmweights/gpt2-xl,4,1,Logistic Regression,3,0.5824175824175825,0.2633657455444336
wiki-zh,/data/llmweights/gpt2-xl,4,1,Nearest Neighbors,4,0.7119722382880278,0.672076940536499
wiki-zh,/data/llmweights/gpt2-xl,4,1,MLP,4,0.7264314632735686,0.47179079055786133
wiki-zh,/data/llmweights/gpt2-xl,4,1,Logistic Regression,4,0.719491035280509,0.25644898414611816
wiki-zh,/data/llmweights/gpt2-xl,4,1,Nearest Neighbors,5,0.7027183342972817,0.6896092891693115
wiki-zh,/data/llmweights/gpt2-xl,4,1,MLP,5,0.6263736263736264,0.42597389221191406
wiki-zh,/data/llmweights/gpt2-xl,4,1,Logistic Regression,5,0.5841526894158473,0.25077176094055176
wiki-zh,/data/llmweights/gpt2-xl,8,1,Nearest Neighbors,1,0.47368421052631576,0.7742383480072021
wiki-zh,/data/llmweights/gpt2-xl,8,1,MLP,1,0.5245806824754193,0.7194540500640869
wiki-zh,/data/llmweights/gpt2-xl,8,1,Logistic Regression,1,0.5008675534991325,0.2661771774291992
wiki-zh,/data/llmweights/gpt2-xl,8,1,Nearest Neighbors,2,0.6286871023713129,0.6352462768554688
wiki-zh,/data/llmweights/gpt2-xl,8,1,MLP,2,0.611336032388664,0.5822553634643555
wiki-zh,/data/llmweights/gpt2-xl,8,1,Logistic Regression,2,0.626951995373048,0.29888391494750977
wiki-zh,/data/llmweights/gpt2-xl,8,1,Nearest Neighbors,3,0.6055523423944477,0.7255551815032959
wiki-zh,/data/llmweights/gpt2-xl,8,1,MLP,3,0.6356275303643725,0.5118551254272461
wiki-zh,/data/llmweights/gpt2-xl,8,1,Logistic Regression,3,0.633314054366686,0.2612428665161133
wiki-zh,/data/llmweights/gpt2-xl,8,1,Nearest Neighbors,4,0.6414112203585888,0.7020246982574463
wiki-zh,/data/llmweights/gpt2-xl,8,1,MLP,4,0.4939271255060729,0.6445958614349365
wiki-zh,/data/llmweights/gpt2-xl,8,1,Logistic Regression,4,0.5164835164835165,0.26085472106933594
wiki-zh,/data/llmweights/gpt2-xl,8,1,Nearest Neighbors,5,0.4956622325043378,0.6639621257781982
wiki-zh,/data/llmweights/gpt2-xl,8,1,MLP,5,0.5037593984962406,0.6693143844604492
wiki-zh,/data/llmweights/gpt2-xl,8,1,Logistic Regression,5,0.4916136495083864,0.2610185146331787
wiki-zh,/data/llmweights/gpt2-xl,16,1,Nearest Neighbors,1,0.5858877964141121,0.8620376586914062
wiki-zh,/data/llmweights/gpt2-xl,16,1,MLP,1,0.6304222093695778,0.8036553859710693
wiki-zh,/data/llmweights/gpt2-xl,16,1,Logistic Regression,1,0.518796992481203,0.27243733406066895
wiki-zh,/data/llmweights/gpt2-xl,16,1,Nearest Neighbors,2,0.6743782533256217,0.7095315456390381
wiki-zh,/data/llmweights/gpt2-xl,16,1,MLP,2,0.6876807403123193,0.6976525783538818
wiki-zh,/data/llmweights/gpt2-xl,16,1,Logistic Regression,2,0.6720647773279352,0.2842531204223633
wiki-zh,/data/llmweights/gpt2-xl,16,1,Nearest Neighbors,3,0.6911509543088491,0.8583810329437256
wiki-zh,/data/llmweights/gpt2-xl,16,1,MLP,3,0.6957779063042221,0.5940868854522705
wiki-zh,/data/llmweights/gpt2-xl,16,1,Logistic Regression,3,0.6749566223250434,0.2786712646484375
wiki-zh,/data/llmweights/gpt2-xl,16,1,Nearest Neighbors,4,0.507807981492192,0.8150758743286133
wiki-zh,/data/llmweights/gpt2-xl,16,1,MLP,4,0.4817813765182186,0.6682794094085693
wiki-zh,/data/llmweights/gpt2-xl,16,1,Logistic Regression,4,0.4551764025448236,0.27242088317871094
wiki-zh,/data/llmweights/gpt2-xl,16,1,Nearest Neighbors,5,0.5899363794100636,0.6837198734283447
wiki-zh,/data/llmweights/gpt2-xl,16,1,MLP,5,0.5986119144013881,0.6676042079925537
wiki-zh,/data/llmweights/gpt2-xl,16,1,Logistic Regression,5,0.5795257374204743,0.27872204780578613
wiki-zh,/data/llmweights/gpt2-xl,32,1,Nearest Neighbors,1,0.556390977443609,0.7825071811676025
wiki-zh,/data/llmweights/gpt2-xl,32,1,MLP,1,0.6032388663967612,1.1818726062774658
wiki-zh,/data/llmweights/gpt2-xl,32,1,Logistic Regression,1,0.5708502024291497,0.306246280670166
wiki-zh,/data/llmweights/gpt2-xl,32,1,Nearest Neighbors,2,0.6292654713707345,0.7228264808654785
wiki-zh,/data/llmweights/gpt2-xl,32,1,MLP,2,0.6252168883747831,1.0676732063293457
wiki-zh,/data/llmweights/gpt2-xl,32,1,Logistic Regression,2,0.6240601503759399,0.3503286838531494
wiki-zh,/data/llmweights/gpt2-xl,32,1,Nearest Neighbors,3,0.589358010410642,0.8739397525787354
wiki-zh,/data/llmweights/gpt2-xl,32,1,MLP,3,0.6338924233661076,1.4627423286437988
wiki-zh,/data/llmweights/gpt2-xl,32,1,Logistic Regression,3,0.6298438403701562,0.3084385395050049
wiki-zh,/data/llmweights/gpt2-xl,32,1,Nearest Neighbors,4,0.5546558704453441,0.7153282165527344
wiki-zh,/data/llmweights/gpt2-xl,32,1,MLP,4,0.5812608444187392,0.7238707542419434
wiki-zh,/data/llmweights/gpt2-xl,32,1,Logistic Regression,4,0.5934065934065934,0.3044009208679199
wiki-zh,/data/llmweights/gpt2-xl,32,1,Nearest Neighbors,5,0.5858877964141121,0.8223297595977783
wiki-zh,/data/llmweights/gpt2-xl,32,1,MLP,5,0.6200115673799884,1.2400283813476562
wiki-zh,/data/llmweights/gpt2-xl,32,1,Logistic Regression,5,0.5945633314054367,0.3135848045349121
wiki-zh,/data/llmweights/gpt2-xl,64,1,Nearest Neighbors,1,0.5916714864083286,1.0151762962341309
wiki-zh,/data/llmweights/gpt2-xl,64,1,MLP,1,0.589358010410642,4.258754253387451
wiki-zh,/data/llmweights/gpt2-xl,64,1,Logistic Regression,1,0.551764025448236,0.3669013977050781
wiki-zh,/data/llmweights/gpt2-xl,64,1,Nearest Neighbors,2,0.6211683053788317,0.9021115303039551
wiki-zh,/data/llmweights/gpt2-xl,64,1,MLP,2,0.6229034123770966,1.6987628936767578
wiki-zh,/data/llmweights/gpt2-xl,64,1,Logistic Regression,2,0.5835743204164257,0.34470367431640625
wiki-zh,/data/llmweights/gpt2-xl,64,1,Nearest Neighbors,3,0.6130711393869288,0.6295120716094971
wiki-zh,/data/llmweights/gpt2-xl,64,1,MLP,3,0.6477732793522267,2.267045497894287
wiki-zh,/data/llmweights/gpt2-xl,64,1,Logistic Regression,3,0.6176980913823019,0.3384695053100586
wiki-zh,/data/llmweights/gpt2-xl,64,1,Nearest Neighbors,4,0.6356275303643725,0.6813693046569824
wiki-zh,/data/llmweights/gpt2-xl,64,1,MLP,4,0.6229034123770966,1.820432424545288
wiki-zh,/data/llmweights/gpt2-xl,64,1,Logistic Regression,4,0.633314054366686,0.3412332534790039
wiki-zh,/data/llmweights/gpt2-xl,64,1,Nearest Neighbors,5,0.6061307113938693,0.7932431697845459
wiki-zh,/data/llmweights/gpt2-xl,64,1,MLP,5,0.6263736263736264,2.3983919620513916
wiki-zh,/data/llmweights/gpt2-xl,64,1,Logistic Regression,5,0.6043956043956044,0.35993385314941406
wiki-zh,/data/llmweights/gpt2-xl,128,1,Nearest Neighbors,1,0.6437246963562753,0.7256934642791748
wiki-zh,/data/llmweights/gpt2-xl,128,1,MLP,1,0.6310005783689995,5.163682460784912
wiki-zh,/data/llmweights/gpt2-xl,128,1,Logistic Regression,1,0.6032388663967612,0.39020299911499023
wiki-zh,/data/llmweights/gpt2-xl,128,1,Nearest Neighbors,2,0.6188548293811452,0.791762113571167
wiki-zh,/data/llmweights/gpt2-xl,128,1,MLP,2,0.6512434933487565,3.0983970165252686
wiki-zh,/data/llmweights/gpt2-xl,128,1,Logistic Regression,2,0.6373626373626373,0.4182744026184082
wiki-zh,/data/llmweights/gpt2-xl,128,1,Nearest Neighbors,3,0.6171197223828803,0.7541649341583252
wiki-zh,/data/llmweights/gpt2-xl,128,1,MLP,3,0.6408328513591671,5.174635171890259
wiki-zh,/data/llmweights/gpt2-xl,128,1,Logistic Regression,3,0.6148062463851938,0.39230942726135254
wiki-zh,/data/llmweights/gpt2-xl,128,1,Nearest Neighbors,4,0.6101792943898207,0.7523105144500732
wiki-zh,/data/llmweights/gpt2-xl,128,1,MLP,4,0.6570271833429728,4.014001369476318
wiki-zh,/data/llmweights/gpt2-xl,128,1,Logistic Regression,4,0.6176980913823019,0.46178412437438965
